--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
--------------------------------------------------------------------------------------------------------
0     0.667         1.3e-02   0.667        1.3e-02   0.000    1.5e-01   
1     -0.467        2.0e-02   0.667        1.2e-02   -0.002   1.5e-01   
2     0.250         3.0e-02   0.666        1.2e-02   0.003    1.5e-01   
3     -0.192        3.3e-02   0.666        1.2e-02   -0.004   1.5e-01   
4     0.139         3.6e-02   0.667        1.2e-02   0.005    1.5e-01   
5     -0.110        3.8e-02   0.668        1.2e-02   -0.005   1.5e-01   
6     0.085         3.9e-02   0.667        1.2e-02   0.006    1.5e-01   
7     -0.068        4.0e-02   0.667        1.2e-02   -0.005   1.5e-01   
8     0.055         4.1e-02   0.667        1.2e-02   0.004    1.5e-01   
9     -0.045        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
10    0.035         4.2e-02   0.667        1.3e-02   0.004    1.5e-01   
11    -0.030        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
12    0.026         4.1e-02   0.666        1.2e-02   0.004    1.5e-01   
13    -0.022        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
14    0.017         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
15    -0.012        4.1e-02   0.667        1.2e-02   -0.003   1.5e-01   
16    0.010         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
17    -0.008        4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
18    0.007         4.2e-02   0.666        1.3e-02   0.001    1.5e-01   
19    -0.005        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
20    0.004         4.1e-02   0.667        1.2e-02   0.001    1.5e-01   
21    -0.004        4.1e-02   0.666        1.2e-02   -0.002   1.5e-01   
22    0.003         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
23    -0.003        4.2e-02   0.665        1.2e-02   0.000    1.5e-01   
24    0.003         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
25    -0.003        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
26    0.002         4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
27    -0.001        4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
28    -0.001        4.2e-02   0.666        1.2e-02   0.005    1.5e-01   
29    0.001         4.1e-02   0.667        1.2e-02   -0.006   1.5e-01   
30    0.001         4.2e-02   0.666        1.2e-02   0.007    1.5e-01   
31    -0.001        4.2e-02   0.668        1.2e-02   -0.008   1.5e-01   
32    0.001         4.2e-02   0.667        1.2e-02   0.007    1.5e-01   
33    -0.000        4.2e-02   0.666        1.2e-02   -0.006   1.5e-01   
34    0.001         4.2e-02   0.666        1.2e-02   0.007    1.5e-01   
35    -0.001        4.2e-02   0.667        1.2e-02   -0.007   1.5e-01   
36    0.001         4.2e-02   0.667        1.2e-02   0.005    1.5e-01   
37    -0.002        4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
38    0.002         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
39    -0.001        4.2e-02   0.668        1.2e-02   -0.002   1.5e-01   
40    0.001         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
41    -0.001        4.3e-02   0.666        1.2e-02   -0.002   1.5e-01   
42    0.000         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
43    -0.000        4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
44    -0.000        4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
