--------------------------------------------------------------------------------------------------------
system size:                                                                                       128  
d-field:                                                                                           0    
beta:                                                                                              25   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -179.3601.1e-01 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 93.238  4.1e+00 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
--------------------------------------------------------------------------------------------------------
0     0.667         2.2e-03   0.667        2.2e-03   0.667    2.2e-03   
1     -0.467        2.8e-03   0.667        2.2e-03   0.667    2.2e-03   
2     0.249         3.4e-03   0.667        2.2e-03   0.667    2.2e-03   
3     -0.191        3.6e-03   0.667        2.2e-03   0.667    2.2e-03   
4     0.138         3.8e-03   0.667        2.2e-03   0.667    2.2e-03   
5     -0.109        3.8e-03   0.666        2.2e-03   0.666    2.2e-03   
6     0.084         3.9e-03   0.666        2.2e-03   0.666    2.2e-03   
7     -0.068        3.9e-03   0.667        2.2e-03   0.667    2.2e-03   
8     0.054         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
9     -0.044        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
10    0.036         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
11    -0.029        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
12    0.023         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
13    -0.019        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
14    0.015         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
15    -0.012        4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
16    0.009         4.1e-03   0.666        2.2e-03   0.666    2.2e-03   
17    -0.007        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
18    0.006         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
19    -0.006        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
20    0.005         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
21    -0.003        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
22    0.003         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
23    -0.002        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
24    0.001         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
25    -0.001        4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
26    0.001         4.1e-03   0.666        2.2e-03   0.666    2.2e-03   
27    -0.001        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
28    0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
29    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
30    0.000         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
31    -0.000        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
32    -0.000        4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
33    -0.000        4.0e-03   0.668        2.2e-03   0.668    2.2e-03   
34    0.000         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
35    -0.001        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
36    0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
37    -0.001        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
38    0.001         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
39    -0.001        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
40    0.000         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
41    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
42    -0.001        4.1e-03   0.666        2.2e-03   0.666    2.2e-03   
43    0.000         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
44    0.000         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
45    -0.000        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
46    0.000         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
