--------------------------------------------------------------------------------------------------------
system size:                                                                                       10   
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -14.069 2.4e+00 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 11.478  1.6e+02 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
--------------------------------------------------------------------------------------------------------
0     0.668         1.1e-02   0.668        1.1e-02   0.668    1.1e-02   
1     -0.471        1.9e-02   0.668        1.2e-02   0.668    1.2e-02   
2     0.265         2.8e-02   0.667        1.2e-02   0.667    1.2e-02   
3     -0.222        3.0e-02   0.667        1.1e-02   0.667    1.1e-02   
4     0.188         3.3e-02   0.667        1.2e-02   0.667    1.2e-02   
5     -0.184        3.3e-02   0.667        1.2e-02   0.667    1.2e-02   
6     0.185         3.3e-02   0.665        1.2e-02   0.665    1.2e-02   
7     -0.220        3.1e-02   0.666        1.1e-02   0.666    1.1e-02   
8     0.264         2.9e-02   0.667        1.1e-02   0.667    1.1e-02   
9     -0.472        1.9e-02   0.667        1.2e-02   0.667    1.2e-02   
